000035263188134309A9FE3,8D513413089185351ADC6FA,FAE533721808662890FD217,11-06-2008,50,Outbid
00063526753376888698FD6,4CE53422648699316D2872A,04B03386561316705148EB8,04-06-2008,60,Outbid
0009352721227532569B232,26C334234418027795A783B,D35733656406861781D99E5,12-06-2008,137,Outbid
000B352645289575425EAC8,6BDA3423437585197CD82B8,A10034066118642759A5EAD,07-06-2008,50,Winning
001035265694989463FD439,6BDA3423437585197CD82B8,02D43384822090747CE0B3A,06-06-2008,50,Winning
001435278440564143B0B1C,46803421992375615AEA2E0,3717336509444357832AF95,09-06-2008,50,Winning
001B3526132057119E4A3FE,4CE53422648699316D2872A,ACE833700825681102C4EBB,10-06-2008,100,Outbid
001F3527121740770BBA7BF,FDD234241823582497F36A2,9E7633963050785320D409A,13-06-2008,50,Outbid
00273528598151477AB30E8,792B34225401638250E14BA,2D42342088735410104AE0E,18-06-2008,50,Winning
002C35273498232604DAD58,1F873423078337166B90E3E,DFC83418003914977DFD763,09-06-2008,50,Outbid
002D35280010412102F5DFA,F68734237517673255F646E,60C3339623489012936AC43,11-06-2008,65,Winning
0035352770166017316BF54,1F873423078337166B90E3E,5C403377516245649D8F741,08-06-2008,100,Outbid
003535281759314309F926F,B29634228042766935BD7B1,3717336509444357832AF95,19-06-2008,50,Winning
003B3527687194133FC3AEC,56A83423707298245116866,AD7A3365638653162B8FBEC,20-06-2008,50,Winning
003B3527969986217AD8173,FDD234241823582497F36A2,793933746675793991E6D95,17-06-2008,55,Outbid
004A3527227745436BD42E9,63E234242594638752BC12B,C1C43365010941312FDB994,20-06-2008,50,Winning
004C3526975244276848058,6.62934E+22,4CE2342381283150411F84E,13-06-2008,500,Outbid
005235263219807009EB741,1F873423078337166B90E3E,B371341561335637845E889,09-06-2008,50,Outbid
005335262726765785F5A80,26AB342222671962443AC68,7CD634213311218141E2BF5,09-06-2008,50,Winning
00543527633054819D63019,6BDA3423437585197CD82B8,EB98342053689893228A88C,07-06-2008,50,Outbid
0058352776321829191BE8E,F68734237517673255F646E,9BE53418643976517CB144C,11-06-2008,57,Outbid
005C35280461436685670C3,4AF034217815481988DFDF0,33E43419608512125F67404,11-06-2008,50,Outbid
005D35265585890285F27B9,1F873423078337166B90E3E,5A303418023605991FFF9E7,03-06-2008,50,Outbid
00623527520067908B374CD,CCCD34228813323493A6CE2,A536342282438846775F003,22-06-2008,100,Winning
00683527624592000460FBF,CCCD34228813323493A6CE2,C9CB3401137973574ACD2DA,22-06-2008,50,Winning
007435280733889168E44EE,46993424134183221B8DDB9,68C334195613672650B9368,16-06-2008,50,Winning
00893526455626249B42D3C,FAD33423855961225734A8D,489D33990915993969C01C1,16-06-2008,100,Outbid
008C3527692212330E29C0F,EFA034207197711004938F3,FE43341463705725047F93B,08-06-2008,50,Winning
008E3527374734530A1DAD0,7E9234242613269267D8926,52983418680680826ADE789,19-06-2008,97,Winning
0092352748360107880752E,4AF034217815481988DFDF0,2C393420049510218ABF42C,11-06-2008,75,Outbid
0099352734355445431D311,623A34219738558496941CA,F3B73375475260580F25E1B,10-06-2008,500,Outbid
009D35280637160787996DA,B76134222047494955BDF50,5.96E+19,13-06-2008,100,Winning
00A13526992230746072F60,1F873423078337166B90E3E,04103388070155048898DB9,08-06-2008,50,Winning
00A3352808278402871BE2B,EFDE3421875339283EE78D3,0136338267618567865D46C,15-06-2008,100,Winning
